airport_id,cargo_lifted_lb,departures,cargo_received_lb,arrivals,total_throughput_lb,total_operations
05K,0.0,1.0,29201.0,1.0,29201.0,2.0
09A,0.0,9.0,1048.0,9.0,1048.0,18.0
1FL,88128.0,2.0,657476.0,7.0,745604.0,9.0
3AK,1012.0,2.0,4680.0,2.0,5692.0,4.0
7AK,6880.0,3.0,14170.0,3.0,21050.0,6.0
7CA,978.0,1.0,978.0,1.0,1956.0,2.0
A1K,75075.0,5.0,162044.0,5.0,237119.0,10.0
A20,1186634.0,175.0,6132208.0,176.0,7318842.0,351.0
A52,0.0,4.0,0.0,4.0,0.0,8.0
A63,350.0,7.0,842.0,5.0,1192.0,12.0
A72,0.0,170.0,0.0,170.0,0.0,340.0
AA8,6.0,4.0,1278.0,4.0,1284.0,8.0
ABE,154351067.0,2142.0,149825235.0,1990.0,304176302.0,4132.0
ABI,447088.0,496.0,1318820.0,806.0,1765908.0,1302.0
ABL,75318.0,102.0,374507.0,103.0,449825.0,205.0
ABQ,34768696.0,2319.0,52341722.0,2259.0,87110418.0,4578.0
ABR,155591.0,250.0,403017.0,290.0,558608.0,540.0
ABY,11002547.0,487.0,17460363.0,489.0,28462910.0,976.0
ACK,259364.0,1214.0,1289246.0,1344.0,1548610.0,2558.0
ACV,359950.0,455.0,1318248.0,830.0,1678198.0,1285.0
ADK,35791.0,15.0,151382.0,16.0,187173.0,31.0
ADQ,2481480.0,5081.0,4654858.0,5097.0,7136338.0,10178.0
ADS,9500.0,7.0,9520.0,5.0,19020.0,12.0
ADW,0.0,1.0,0.0,3.0,0.0,4.0
AET,42766.0,182.0,291209.0,183.0,333975.0,365.0
AEX,120.0,1.0,120.0,1.0,240.0,2.0
AFW,366175740.0,8652.0,308077841.0,7568.0,674253581.0,16220.0
AGC,0.0,1.0,11087.0,1.0,11087.0,2.0
AIN,11236.0,15.0,214909.0,15.0,226145.0,30.0
AKB,1966.0,5.0,14642.0,5.0,16608.0,10.0
AKI,5326.0,16.0,21629.0,13.0,26955.0,29.0
AKK,4219.0,291.0,110513.0,290.0,114732.0,581.0
AKN,7533164.0,2226.0,7196176.0,2195.0,14729340.0,4421.0
AKP,508172.0,370.0,1783223.0,373.0,2291395.0,743.0
ALB,20232165.0,793.0,22168019.0,795.0,42400184.0,1588.0
ANB,168393.0,46.0,656536.0,52.0,824929.0,98.0
ANC,4602604207.0,36246.0,1002794128.0,24722.0,5605398335.0,60968.0
ANI,507817.0,285.0,4627706.0,279.0,5135523.0,564.0
ANV,15051.0,27.0,64948.0,27.0,79999.0,54.0
APN,354708.0,237.0,560956.0,409.0,915664.0,646.0
ARA,15103.0,3.0,48644.0,9.0,63747.0,12.0
ARC,61294.0,269.0,278867.0,269.0,340161.0,538.0
ATK,5694.0,10.0,150557.0,11.0,156251.0,21.0
ATL,349670050.0,5142.0,483528122.0,5454.0,833198172.0,10596.0
ATT,8671.0,27.0,50257.0,24.0,58928.0,51.0
ATW,4898081.0,245.0,7418287.0,251.0,12316368.0,496.0
AUK,27395.0,54.0,194232.0,53.0,221627.0,107.0
AUO,1236.0,1.0,1263.0,1.0,2499.0,2.0
AUS,115154058.0,3432.0,137199167.0,3455.0,252353225.0,6887.0
AVL,9500.0,1.0,0.0,1.0,9500.0,2.0
AVP,2000.0,1.0,0.0,1.0,2000.0,2.0
AWK,92245.0,5.0,53711.0,7.0,145956.0,12.0
AZA,359639.0,54.0,2674779.0,42.0,3034418.0,96.0
AZO,0.0,1.0,0.0,1.0,0.0,2.0
BDL,139422779.0,3260.0,173747278.0,3446.0,313170057.0,6706.0
BET,5988627.0,2612.0,51864808.0,2719.0,57853435.0,5331.0
BFF,184467.0,253.0,521066.0,353.0,705533.0,606.0
BFI,93135610.0,2048.0,107369335.0,2077.0,200504945.0,4125.0
BFL,754869.0,551.0,970943.0,571.0,1725812.0,1122.0
BFM,7814293.0,299.0,17046933.0,295.0,24861226.0,594.0
BGR,1674458.0,287.0,2448252.0,288.0,4122710.0,575.0
BHM,15289181.0,563.0,30574205.0,751.0,45863386.0,1314.0
BIH,48434.0,241.0,366446.0,250.0,414880.0,491.0
BIL,22218440.0,1396.0,40606578.0,1407.0,62825018.0,2803.0
BIS,345371.0,333.0,780750.0,368.0,1126121.0,701.0
BJC,0.0,1.0,0.0,0.0,0.0,1.0
BJI,236761.0,251.0,494653.0,383.0,731414.0,634.0
BKC,85962.0,112.0,490231.0,112.0,576193.0,224.0
BKW,254814.0,246.0,0.0,0.0,254814.0,246.0
BLI,793733.0,896.0,835204.0,1103.0,1628937.0,1999.0
BMG,0.0,10.0,211575.0,11.0,211575.0,21.0
BMI,5066575.0,309.0,7769308.0,310.0,12835883.0,619.0
BNA,52816593.0,1592.0,44910762.0,1425.0,97727355.0,3017.0
BOI,41926645.0,1542.0,48813896.0,1555.0,90740541.0,3097.0
BOS,139543611.0,2812.0,175270414.0,3061.0,314814025.0,5873.0
BQK,0.0,13.0,0.0,12.0,0.0,25.0
BQN,22431563.0,318.0,44829897.0,540.0,67261460.0,858.0
BRO,66830.0,9.0,32850.0,12.0,99680.0,21.0
BRW,1748331.0,661.0,18831624.0,697.0,20579955.0,1358.0
BTI,35998.0,294.0,457025.0,295.0,493023.0,589.0
BTT,2166.0,13.0,19105.0,13.0,21271.0,26.0
BTV,2510529.0,254.0,3735282.0,258.0,6245811.0,512.0
BUF,34888005.0,1188.0,44660606.0,1217.0,79548611.0,2405.0
BUR,35708183.0,641.0,34275701.0,586.0,69983884.0,1227.0
BVU,2785.0,27.0,28790.0,83.0,31575.0,110.0
BWD,314260.0,255.0,305749.0,266.0,620009.0,521.0
BWG,8592.0,2.0,5700.0,2.0,14292.0,4.0
BWI,204043412.0,4278.0,237544292.0,4469.0,441587704.0,8747.0
BYH,0.0,0.0,5402.0,2.0,5402.0,2.0
BZN,1136689.0,447.0,2771036.0,441.0,3907725.0,888.0
CAE,34368232.0,1538.0,49761726.0,1532.0,84129958.0,3070.0
CDB,717710.0,345.0,1218921.0,346.0,1936631.0,691.0
CDC,172167.0,249.0,356211.0,262.0,528378.0,511.0
CDL,0.0,3.0,3981.0,3.0,3981.0,6.0
CDV,2106464.0,367.0,1909353.0,367.0,4015817.0,734.0
CEC,71198.0,374.0,499649.0,374.0,570847.0,748.0
CEF,4300.0,1.0,0.0,1.0,4300.0,2.0
CEM,0.0,3.0,0.0,3.0,0.0,6.0
CHA,12074259.0,311.0,10277208.0,313.0,22351467.0,624.0
CHO,0.0,1.0,0.0,1.0,0.0,2.0
CHS,9910047.0,179.0,27052355.0,804.0,36962402.0,983.0
CHU,0.0,2.0,0.0,2.0,0.0,4.0
CIC,275506.0,383.0,27321.0,129.0,302827.0,512.0
CID,33739437.0,1284.0,38448944.0,1270.0,72188381.0,2554.0
CIK,203393.0,45.0,225725.0,45.0,429118.0,90.0
CIU,128506.0,247.0,371643.0,283.0,500149.0,530.0
CKD,1008.0,6.0,6871.0,6.0,7879.0,12.0
CKX,1302.0,62.0,7888.0,63.0,9190.0,125.0
CLE,82910642.0,1624.0,87420896.0,1451.0,170331538.0,3075.0
CLM,356680.0,502.0,714666.0,554.0,1071346.0,1056.0
CLT,156848740.0,2539.0,191037922.0,2520.0,347886662.0,5059.0
CLU,4798.0,2.0,0.0,2.0,4798.0,4.0
CMH,35530.0,8.0,0.0,7.0,35530.0,15.0
CMX,89974.0,245.0,403659.0,333.0,493633.0,578.0
CNO,135643.0,25.0,53185.0,25.0,188828.0,50.0
CNW,0.0,4.0,0.0,1.0,0.0,5.0
COF,0.0,2.0,0.0,0.0,0.0,2.0
COS,7678580.0,339.0,10382766.0,392.0,18061346.0,731.0
CPR,12969091.0,1338.0,14958411.0,1334.0,27927502.0,2672.0
CPX,33695.0,391.0,148976.0,471.0,182671.0,862.0
CRP,40200.0,1.0,0.0,1.0,40200.0,2.0
CSG,337218.0,251.0,134613.0,216.0,471831.0,467.0
CVG,1002438137.0,17018.0,1077830521.0,17656.0,2080268658.0,34674.0
CVO,533305.0,502.0,111256.0,496.0,644561.0,998.0
CVS,0.0,1.0,0.0,0.0,0.0,1.0
CWA,18650.0,132.0,267741.0,245.0,286391.0,377.0
CYF,43623.0,55.0,176462.0,55.0,220085.0,110.0
CYT,4346.0,1.0,22663.0,1.0,27009.0,2.0
CZF,20222.0,5.0,68656.0,5.0,88878.0,10.0
CZN,8380.0,87.0,29919.0,86.0,38299.0,173.0
CZO,0.0,1.0,0.0,1.0,0.0,2.0
DAL,32984.0,5.0,36633.0,5.0,69617.0,10.0
DAY,7311359.0,265.0,7270798.0,264.0,14582157.0,529.0
DCA,0.0,24.0,0.0,25.0,0.0,49.0
DCK,0.0,1.0,15855.0,1.0,15855.0,2.0
DCU,22200.0,5.0,12752.0,5.0,34952.0,10.0
DDC,3190.0,3.0,3190.0,3.0,6380.0,6.0
DEN,235101013.0,4107.0,295071919.0,4240.0,530172932.0,8347.0
DFW,555851570.0,8311.0,695359380.0,8732.0,1251210950.0,17043.0
DGB,0.0,36.0,7869.0,36.0,7869.0,72.0
DHN,552536.0,237.0,454740.0,171.0,1007276.0,408.0
DIK,125858.0,248.0,318164.0,253.0,444022.0,501.0
DIO,4680.0,64.0,17525.0,64.0,22205.0,128.0
DLG,2922406.0,889.0,11920390.0,897.0,14842796.0,1786.0
DLH,608016.0,242.0,1090745.0,241.0,1698761.0,483.0
DOV,194011.0,30.0,20980.0,25.0,214991.0,55.0
DPA,5000.0,3.0,4000.0,3.0,9000.0,6.0
DRG,70081.0,94.0,320250.0,94.0,390331.0,188.0
DRO,253912.0,310.0,696937.0,506.0,950849.0,816.0
DRT,131188.0,54.0,42066.0,63.0,173254.0,117.0
DSM,14173645.0,519.0,18855631.0,560.0,33029276.0,1079.0
DTO,34680.0,4.0,23880.0,4.0,58560.0,8.0
DTW,93332133.0,1656.0,109571989.0,1656.0,202904122.0,3312.0
DUT,347865.0,443.0,1539687.0,442.0,1887552.0,885.0
EAA,6694.0,257.0,243161.0,259.0,249855.0,516.0
EAR,377160.0,301.0,617997.0,490.0,995157.0,791.0
EAT,74655.0,76.0,0.0,0.0,74655.0,76.0
ECP,15000.0,2.0,0.0,2.0,15000.0,4.0
EDF,567477.0,7.0,114830.0,25.0,682307.0,32.0
EDW,90314.0,1.0,88924.0,1.0,179238.0,2.0
EEK,30778.0,57.0,136282.0,53.0,167060.0,110.0
EGX,92266.0,32.0,28452.0,33.0,120718.0,65.0
EHM,4800.0,1.0,19805.0,1.0,24605.0,2.0
EIL,0.0,1.0,307708.0,5.0,307708.0,6.0
EKA,1262.0,3.0,7611.0,7.0,8873.0,10.0
EKX,1800.0,1.0,0.0,1.0,1800.0,2.0
EKY,0.0,1.0,1828.0,1.0,1828.0,2.0
ELI,72253.0,81.0,268058.0,81.0,340311.0,162.0
ELP,71225313.0,1805.0,87605109.0,1868.0,158830422.0,3673.0
EMK,621008.0,255.0,5208281.0,266.0,5829289.0,521.0
ENA,633848.0,686.0,2626927.0,1419.0,3260775.0,2105.0
ENN,1078.0,2.0,1078.0,2.0,2156.0,4.0
ERI,0.0,0.0,144843.0,208.0,144843.0,208.0
ESC,192413.0,250.0,276344.0,255.0,468757.0,505.0
ESD,94805.0,591.0,287770.0,889.0,382575.0,1480.0
EUG,1045914.0,608.0,60480.0,261.0,1106394.0,869.0
EVV,97516.0,8.0,90184.0,188.0,187700.0,196.0
EWN,1500678.0,252.0,1322471.0,251.0,2823149.0,503.0
EWR,415656782.0,7245.0,407678046.0,5916.0,823334828.0,13161.0
EYW,280263.0,269.0,488853.0,423.0,769116.0,692.0
FAI,9269429.0,4637.0,20352953.0,4763.0,29622382.0,9400.0
FAR,21582658.0,2036.0,26639141.0,2043.0,48221799.0,4079.0
FAT,9261590.0,659.0,14873732.0,661.0,24135322.0,1320.0
FBK,1647.0,8.0,1274.0,8.0,2921.0,16.0
FCA,2074534.0,498.0,1902974.0,491.0,3977508.0,989.0
FFO,4153.0,1.0,0.0,0.0,4153.0,1.0
FLG,395842.0,503.0,873436.0,629.0,1269278.0,1132.0
FLL,77820043.0,2007.0,99424106.0,1852.0,177244149.0,3859.0
FLO,32100.0,3.0,1384.0,3.0,33484.0,6.0
FLT,82627.0,8.0,262828.0,8.0,345455.0,16.0
FMN,206282.0,356.0,594013.0,493.0,800295.0,849.0
FNT,12711349.0,683.0,14464695.0,484.0,27176044.0,1167.0
FQQ,1465.0,1.0,2179.0,1.0,3644.0,2.0
FRD,28454.0,493.0,150601.0,397.0,179055.0,890.0
FRG,600.0,4.0,33292.0,4.0,33892.0,8.0
FSD,30774913.0,1779.0,40767423.0,1688.0,71542336.0,3467.0
FSM,14400.0,1.0,0.0,1.0,14400.0,2.0
FTY,6200.0,1.0,0.0,1.0,6200.0,2.0
FVQ,125926.0,11.0,219513.0,10.0,345439.0,21.0
FVZ,0.0,10.0,7407.0,10.0,7407.0,20.0
FWA,16994166.0,714.0,20521910.0,716.0,37516076.0,1430.0
FYU,27138.0,580.0,563529.0,580.0,590667.0,1160.0
GAL,549173.0,1154.0,1916404.0,1160.0,2465577.0,2314.0
GAM,19451.0,119.0,433366.0,119.0,452817.0,238.0
GBR,95.0,1.0,0.0,0.0,95.0,1.0
GCK,212900.0,242.0,267416.0,236.0,480316.0,478.0
GDC,28460.0,11.0,49857.0,11.0,78317.0,22.0
GEG,48189647.0,2468.0,76459123.0,3579.0,124648770.0,6047.0
GEK,600.0,1.0,43767.0,1.0,44367.0,2.0
GEY,0.0,1.0,0.0,3.0,0.0,4.0
GFK,5886.0,1.0,5886.0,1.0,11772.0,2.0
GJT,3570517.0,253.0,4998191.0,250.0,8568708.0,503.0
GKN,76513.0,214.0,1442.0,213.0,77955.0,427.0
GLR,6042.0,4.0,31817.0,27.0,37859.0,31.0
GLV,47000.0,73.0,200442.0,73.0,247442.0,146.0
GNU,32950.0,29.0,87146.0,28.0,120096.0,57.0
GNV,2479.0,1.0,2479.0,1.0,4958.0,2.0
GOL,0.0,0.0,1750.0,1.0,1750.0,1.0
GRB,527.0,1.0,622.0,2.0,1149.0,3.0
GRI,300734.0,300.0,37615.0,54.0,338349.0,354.0
GRR,22550548.0,1470.0,24769880.0,1220.0,47320428.0,2690.0
GSB,0.0,1.0,0.0,0.0,0.0,1.0
GSH,6200.0,2.0,0.0,2.0,6200.0,4.0
GSO,77407369.0,2185.0,101388940.0,2184.0,178796309.0,4369.0
GSP,39315820.0,986.0,43300661.0,810.0,82616481.0,1796.0
GTF,19512845.0,2371.0,25864299.0,2391.0,45377144.0,4762.0
GUM,1826355.0,648.0,17543244.0,853.0,19369599.0,1501.0
GUP,117375.0,303.0,19917.0,51.0,137292.0,354.0
GUS,0.0,2.0,0.0,2.0,0.0,4.0
GVT,0.0,1.0,0.0,1.0,0.0,2.0
GYR,9942.0,10.0,14730.0,10.0,24672.0,20.0
GYY,8178028.0,200.0,2816691.0,191.0,10994719.0,391.0
HCR,11408.0,21.0,28521.0,21.0,39929.0,42.0
HDN,127015.0,294.0,331338.0,253.0,458353.0,547.0
HGR,52800.0,5.0,10092.0,5.0,62892.0,10.0
HIF,0.0,4.0,0.0,0.0,0.0,4.0
HII,485222.0,509.0,632704.0,534.0,1117926.0,1043.0
HIK,160874.0,5.0,164695.0,4.0,325569.0,9.0
HKY,0.0,1.0,6990.0,1.0,6990.0,2.0
HNL,330487403.0,12860.0,551465499.0,10521.0,881952902.0,23381.0
HOM,985454.0,4422.0,932663.0,4511.0,1918117.0,8933.0
HOU,18287.0,6.0,3000.0,7.0,21287.0,13.0
HPB,55262.0,197.0,711197.0,199.0,766459.0,396.0
HRL,14127251.0,281.0,19452787.0,280.0,33580038.0,561.0
HSL,36042.0,200.0,216742.0,200.0,252784.0,400.0
HST,0.0,1.0,0.0,0.0,0.0,1.0
HSV,18202299.0,671.0,21587588.0,676.0,39789887.0,1347.0
HTS,3329953.0,247.0,7033601.0,494.0,10363554.0,741.0
HUF,30575.0,4.0,38698.0,4.0,69273.0,8.0
HUS,1933.0,10.0,6006.0,10.0,7939.0,20.0
HYA,670603.0,976.0,138290.0,966.0,808893.0,1942.0
IAB,5766916.0,65.0,4109072.0,64.0,9875988.0,129.0
IAD,62351290.0,1193.0,82656022.0,1810.0,145007312.0,3003.0
IAG,93984.0,41.0,678033.0,42.0,772017.0,83.0
IAH,359332551.0,5518.0,395176712.0,5736.0,754509263.0,11254.0
IAN,55313.0,81.0,276544.0,81.0,331857.0,162.0
ICT,13568529.0,773.0,20338056.0,960.0,33906585.0,1733.0
IDA,3067022.0,463.0,4671409.0,480.0,7738431.0,943.0
IGG,0.0,0.0,0.0,1.0,0.0,1.0
ILG,36633.0,1.0,0.0,1.0,36633.0,2.0
ILI,121618.0,251.0,751466.0,251.0,873084.0,502.0
ILM,1636008.0,251.0,1388134.0,254.0,3024142.0,505.0
ILN,291470132.0,3594.0,287067365.0,3596.0,578537497.0,7190.0
IMT,126100.0,249.0,372748.0,350.0,498848.0,599.0
IN6,11518.0,2.0,1314.0,2.0,12832.0,4.0
IND,834802076.0,11773.0,756711145.0,11764.0,1591513221.0,23537.0
IPL,642292.0,469.0,540460.0,465.0,1182752.0,934.0
IPT,2140.0,1.0,2140.0,1.0,4280.0,2.0
IRC,0.0,2.0,1221.0,2.0,1221.0,4.0
ISP,0.0,1.0,3000.0,1.0,3000.0,2.0
ITO,11869841.0,1405.0,28248099.0,1878.0,40117940.0,3283.0
IYK,218326.0,244.0,56804.0,242.0,275130.0,486.0
JAN,6677609.0,314.0,13685214.0,320.0,20362823.0,634.0
JAX,62846578.0,1503.0,82275302.0,1559.0,145121880.0,3062.0
JFK,378323941.0,5393.0,820004425.0,6739.0,1198328366.0,12132.0
JHM,243213.0,258.0,1924765.0,981.0,2167978.0,1239.0
JNU,12353781.0,1791.0,21825064.0,1794.0,34178845.0,3585.0
JRF,4115.0,1.0,0.0,1.0,4115.0,2.0
JRV,687.0,110.0,0.0,76.0,687.0,186.0
JZE,17918.0,2.0,21156.0,2.0,39074.0,4.0
JZT,13772.0,9.0,34967.0,9.0,48739.0,18.0
KAL,0.0,13.0,12538.0,13.0,12538.0,26.0
KBC,18274.0,181.0,442750.0,182.0,461024.0,363.0
KCQ,0.0,2.0,126.0,2.0,126.0,4.0
KEB,2635.0,1563.0,213446.0,1564.0,216081.0,3127.0
KGX,3833.0,9.0,7698.0,10.0,11531.0,19.0
KKA,13719.0,56.0,133652.0,67.0,147371.0,123.0
KKH,13014.0,57.0,207502.0,54.0,220516.0,111.0
KKI,16941.0,17.0,42767.0,13.0,59708.0,30.0
KLG,1465.0,12.0,23662.0,13.0,25127.0,25.0
KLN,11379.0,855.0,208682.0,853.0,220061.0,1708.0
KLW,17887.0,5.0,0.0,5.0,17887.0,10.0
KMO,0.0,1.0,0.0,1.0,0.0,2.0
KNW,0.0,1.0,1200.0,1.0,1200.0,2.0
KOA,35725657.0,1851.0,75119227.0,2302.0,110844884.0,4153.0
KOT,7373.0,56.0,235327.0,57.0,242700.0,113.0
KOZ,7538.0,975.0,204699.0,975.0,212237.0,1950.0
KPN,29703.0,79.0,1043034.0,82.0,1072737.0,161.0
KSM,747522.0,175.0,4726130.0,174.0,5473652.0,349.0
KTN,8017572.0,1322.0,12878207.0,1323.0,20895779.0,2645.0
KTS,34796.0,77.0,262467.0,75.0,297263.0,152.0
KUK,16956.0,22.0,57281.0,20.0,74237.0,42.0
KVL,83058.0,120.0,428837.0,119.0,511895.0,239.0
KWK,2498.0,38.0,73896.0,44.0,76394.0,82.0
KWN,35175.0,57.0,193599.0,52.0,228774.0,109.0
KWT,10211.0,17.0,33730.0,17.0,43941.0,34.0
KYK,5082.0,214.0,74911.0,214.0,79993.0,428.0
KYU,51.0,13.0,33917.0,14.0,33968.0,27.0
LAF,0.0,2.0,19607.0,2.0,19607.0,4.0
LAL,120070624.0,2741.0,132868427.0,2736.0,252939051.0,5477.0
