airport_id,cargo_lifted_lb,departures,cargo_received_lb,arrivals,total_throughput_lb,total_operations
LAN,24459770.0,727.0,40195885.0,748.0,64655655.0,1475.0
LAS,77554310.0,2393.0,91200320.0,2402.0,168754630.0,4795.0
LAX,714611292.0,9032.0,723345446.0,7682.0,1437956738.0,16714.0
LBB,26227752.0,2619.0,51655440.0,2409.0,77883192.0,5028.0
LBE,3396.0,1.0,0.0,1.0,3396.0,2.0
LBF,126670.0,252.0,383493.0,249.0,510163.0,501.0
LCK,34390331.0,885.0,33906624.0,885.0,68296955.0,1770.0
LEX,0.0,4.0,72279.0,4.0,72279.0,8.0
LFT,9657837.0,511.0,15348965.0,506.0,25006802.0,1017.0
LGA,1.0,27.0,1.0,4.0,2.0,31.0
LGB,22511328.0,450.0,15999337.0,441.0,38510665.0,891.0
LGC,85720.0,53.0,140743.0,20.0,226463.0,73.0
LIH,30220543.0,1582.0,57666300.0,2547.0,87886843.0,4129.0
LIT,10791299.0,493.0,16176195.0,497.0,26967494.0,990.0
LKK,8980.0,261.0,83115.0,237.0,92095.0,498.0
LMA,19217.0,3.0,24699.0,3.0,43916.0,6.0
LMT,499963.0,615.0,1159941.0,721.0,1659904.0,1336.0
LNK,3279.0,4.0,2604.0,4.0,5883.0,8.0
LNY,788510.0,598.0,605724.0,663.0,1394234.0,1261.0
LRD,20036897.0,1364.0,27830439.0,1547.0,47867336.0,2911.0
LSE,1264.0,1.0,0.0,1.0,1264.0,2.0
LSV,198144.0,5.0,277174.0,6.0,475318.0,11.0
LUF,82124.0,1.0,88924.0,1.0,171048.0,2.0
LUK,10192.0,3.0,0.0,3.0,10192.0,6.0
LUR,0.0,1.0,40525.0,1.0,40525.0,2.0
LZU,13048.0,2.0,0.0,2.0,13048.0,4.0
MAF,2259112.0,495.0,2067055.0,1042.0,4326167.0,1537.0
MBS,10100.0,1.0,0.0,1.0,10100.0,2.0
MCC,25793.0,14.0,20900.0,12.0,46693.0,26.0
MCG,227084.0,819.0,1006669.0,816.0,1233753.0,1635.0
MCI,123026408.0,2863.0,116358053.0,2872.0,239384461.0,5735.0
MCK,54735.0,196.0,346482.0,229.0,401217.0,425.0
MCN,2114.0,4.0,0.0,4.0,2114.0,8.0
MCO,146263643.0,3182.0,174302463.0,3231.0,320566106.0,6413.0
MDO,0.0,1.0,4995.0,1.0,4995.0,2.0
MDT,62328077.0,1203.0,54025858.0,1001.0,116353935.0,2204.0
MEI,5760.0,1.0,5760.0,1.0,11520.0,2.0
MEM,2840909720.0,43726.0,2524642651.0,41919.0,5365552371.0,85645.0
MEO,54722.0,247.0,253462.0,240.0,308184.0,487.0
MFE,6908419.0,279.0,11387541.0,285.0,18295960.0,564.0
MFH,821.0,1.0,821.0,1.0,1642.0,2.0
MFR,2710720.0,665.0,3902464.0,666.0,6613184.0,1331.0
MGM,513.0,2.0,4338.0,2.0,4851.0,4.0
MHR,93558012.0,1883.0,93398156.0,1892.0,186956168.0,3775.0
MHT,116036109.0,2098.0,131263527.0,2091.0,247299636.0,4189.0
MIA,509421752.0,8565.0,1006890274.0,8926.0,1516312026.0,17491.0
MKC,0.0,1.0,5880.0,1.0,5880.0,2.0
MKE,56914033.0,2169.0,55224396.0,1776.0,112138429.0,3945.0
MKK,181094.0,271.0,1169096.0,679.0,1350190.0,950.0
MKN,654.0,1.0,654.0,1.0,1308.0,2.0
MLB,0.0,10.0,98407.0,9.0,98407.0,19.0
MLL,19108.0,44.0,134676.0,42.0,153784.0,86.0
MLU,9436.0,3.0,226981.0,194.0,236417.0,197.0
MLY,1078.0,13.0,22697.0,13.0,23775.0,26.0
MNT,1078.0,6.0,1078.0,6.0,2156.0,12.0
MNZ,0.0,1.0,11890.0,1.0,11890.0,2.0
MOT,310665.0,297.0,580837.0,269.0,891502.0,566.0
MOU,4070.0,6.0,5150.0,6.0,9220.0,12.0
MQT,160671.0,247.0,643366.0,494.0,804037.0,741.0
MQY,193666.0,102.0,1129859.0,107.0,1323525.0,209.0
MRC,0.0,5.0,26018.0,5.0,26018.0,10.0
MRI,969654.0,1290.0,73742.0,1102.0,1043396.0,2392.0
MRY,197271.0,253.0,109352.0,198.0,306623.0,451.0
MSN,12496900.0,1216.0,12572163.0,1044.0,25069063.0,2260.0
MSO,1519488.0,493.0,2665169.0,489.0,4184657.0,982.0
MSP,168974810.0,3827.0,201160396.0,4235.0,370135206.0,8062.0
MSY,34654509.0,1389.0,67556165.0,1566.0,102210674.0,2955.0
MTH,125542.0,211.0,199648.0,215.0,325190.0,426.0
MUO,64326.0,1.0,91432.0,1.0,155758.0,2.0
MVW,849228.0,500.0,7602.0,10.0,856830.0,510.0
MVY,58496.0,243.0,529662.0,331.0,588158.0,574.0
MWA,0.0,2.0,16714.0,2.0,16714.0,4.0
MWH,0.0,1.0,0.0,0.0,0.0,1.0
MXY,1188.0,107.0,64858.0,108.0,66046.0,215.0
MYF,0.0,0.0,1310.0,2.0,1310.0,2.0
MYK,254.0,106.0,11655.0,106.0,11909.0,212.0
MYR,732168.0,247.0,2216902.0,247.0,2949070.0,494.0
MYU,13220.0,30.0,121176.0,30.0,134396.0,60.0
MZJ,1200.0,12.0,661.0,12.0,1861.0,24.0
N1C,0.0,1.0,0.0,0.0,0.0,1.0
NCN,16522.0,180.0,64493.0,182.0,81015.0,362.0
NGU,41743.0,37.0,50972.0,38.0,92715.0,75.0
NIB,44104.0,326.0,400598.0,332.0,444702.0,658.0
NLG,266.0,2.0,6572.0,2.0,6838.0,4.0
NME,10135.0,61.0,167339.0,58.0,177474.0,119.0
NNK,0.0,2.0,0.0,2.0,0.0,4.0
NTD,0.0,3.0,0.0,2.0,0.0,5.0
NUI,48420.0,504.0,529952.0,538.0,578372.0,1042.0
NUL,19658.0,194.0,196404.0,195.0,216062.0,389.0
NUP,3267.0,18.0,29201.0,17.0,32468.0,35.0
NUW,159675.0,2.0,2363.0,1.0,162038.0,3.0
NYL,956928.0,1012.0,1318428.0,849.0,2275356.0,1861.0
NZY,2363.0,3.0,0.0,0.0,2363.0,3.0
O85,0.0,0.0,1990.0,1.0,1990.0,1.0
OAK,510107507.0,8505.0,535198912.0,8849.0,1045306419.0,17354.0
OBU,99272.0,59.0,204076.0,59.0,303348.0,118.0
OGG,25749313.0,1719.0,71427164.0,2570.0,97176477.0,4289.0
OKC,31580875.0,791.0,41949306.0,799.0,73530181.0,1590.0
OLH,7681.0,896.0,370895.0,893.0,378576.0,1789.0
OMA,66463416.0,2564.0,83234125.0,2604.0,149697541.0,5168.0
OME,4852163.0,1442.0,25845023.0,1450.0,30697186.0,2892.0
ONP,75220.0,370.0,749517.0,428.0,824737.0,798.0
ONT,948475137.0,16123.0,748679132.0,15577.0,1697154269.0,31700.0
OOK,31725.0,94.0,285898.0,94.0,317623.0,188.0
OPF,105607.0,19.0,5516.0,22.0,111123.0,41.0
ORD,476710316.0,7606.0,1682842620.0,10963.0,2159552936.0,18569.0
ORF,16316546.0,746.0,19892182.0,773.0,36208728.0,1519.0
ORH,24652.0,2.0,0.0,2.0,24652.0,4.0
ORI,7590.0,919.0,245018.0,920.0,252608.0,1839.0
ORT,182.0,7.0,618.0,7.0,800.0,14.0
ORV,17229.0,100.0,349207.0,100.0,366436.0,200.0
OSC,17450.0,33.0,23525.0,26.0,40975.0,59.0
OTH,267405.0,611.0,821122.0,561.0,1088527.0,1172.0
OTZ,5396398.0,1630.0,22885305.0,1636.0,28281703.0,3266.0
PAE,3694489.0,71.0,3093590.0,80.0,6788079.0,151.0
PAH,0.0,1.0,6379.0,1.0,6379.0,2.0
PAM,191818.0,2.0,0.0,0.0,191818.0,2.0
PAQ,0.0,1.0,0.0,1.0,0.0,2.0
PBG,2400.0,1.0,0.0,1.0,2400.0,2.0
PBI,27921068.0,879.0,42739398.0,883.0,70660466.0,1762.0
PDB,0.0,12.0,0.0,12.0,0.0,24.0
PDX,239265027.0,8240.0,264713498.0,8600.0,503978525.0,16840.0
PGM,556.0,1482.0,209392.0,1480.0,209948.0,2962.0
PGV,3124.0,1.0,0.0,1.0,3124.0,2.0
PHF,53752.0,7.0,0.0,7.0,53752.0,14.0
PHL,362711465.0,7312.0,364943697.0,7523.0,727655162.0,14835.0
PHO,103957.0,177.0,899533.0,175.0,1003490.0,352.0
PHX,336912022.0,7793.0,347383701.0,7767.0,684295723.0,15560.0
PIA,12056955.0,313.0,11955121.0,313.0,24012076.0,626.0
PIH,245493.0,267.0,760371.0,411.0,1005864.0,678.0
PIM,260.0,1.0,260.0,1.0,520.0,2.0
PIP,0.0,1.0,29275.0,1.0,29275.0,2.0
PIR,99071.0,245.0,288059.0,254.0,387130.0,499.0
PIT,81906459.0,2588.0,102597242.0,2648.0,184503701.0,5236.0
PIZ,6939.0,15.0,171410.0,15.0,178349.0,30.0
PKA,5141.0,21.0,45164.0,23.0,50305.0,44.0
PLN,215777.0,252.0,527219.0,447.0,742996.0,699.0
PNS,9491617.0,560.0,23524134.0,564.0,33015751.0,1124.0
POB,0.0,1.0,0.0,0.0,0.0,1.0
POC,0.0,0.0,1982.0,1.0,1982.0,1.0
PPG,286809.0,38.0,1777214.0,40.0,2064023.0,78.0
PQI,116904.0,302.0,704381.0,556.0,821285.0,858.0
PQS,15885.0,55.0,300442.0,55.0,316327.0,110.0
PRB,13888.0,12.0,21855.0,11.0,35743.0,23.0
PSC,1623941.0,898.0,18872.0,11.0,1642813.0,909.0
PSG,1557671.0,414.0,1730785.0,416.0,3288456.0,830.0
PSK,0.0,2.0,14472.0,2.0,14472.0,4.0
PSM,1372330.0,28.0,3094770.0,40.0,4467100.0,68.0
PTH,1000.0,1.0,24986.0,1.0,25986.0,2.0
PTK,87711.0,108.0,270878.0,111.0,358589.0,219.0
PTT,3540.0,2.0,3540.0,2.0,7080.0,4.0
PTU,22339.0,21.0,45060.0,21.0,67399.0,42.0
PUW,7150.0,1.0,7150.0,1.0,14300.0,2.0
PVD,11978623.0,1253.0,17171189.0,1069.0,29149812.0,2322.0
PWM,6054682.0,811.0,8610018.0,555.0,14664700.0,1366.0
QMA,8005.0,2.0,0.0,2.0,8005.0,4.0
RAP,1449311.0,484.0,2805919.0,501.0,4255230.0,985.0
RBG,127450.0,634.0,572397.0,468.0,699847.0,1102.0
RBH,9985.0,1006.0,46527.0,1064.0,56512.0,2070.0
RBL,15415.0,12.0,15130.0,9.0,30545.0,21.0
RBY,16849.0,196.0,193965.0,196.0,210814.0,392.0
RDB,806658.0,184.0,5541298.0,208.0,6347956.0,392.0
RDD,955789.0,773.0,866428.0,535.0,1822217.0,1308.0
RDM,819213.0,610.0,1460537.0,963.0,2279750.0,1573.0
RDR,0.0,1.0,0.0,0.0,0.0,1.0
RDU,55280836.0,1872.0,102510572.0,1896.0,157791408.0,3768.0
RDV,0.0,1.0,2466.0,1.0,2466.0,2.0
RFD,572123066.0,11294.0,534260664.0,11163.0,1106383730.0,22457.0
RHI,352622.0,441.0,464704.0,451.0,817326.0,892.0
RIC,102386493.0,2662.0,130509780.0,2678.0,232896273.0,5340.0
RIV,14644475.0,321.0,14034916.0,316.0,28679391.0,637.0
RKS,142324.0,299.0,345699.0,252.0,488023.0,551.0
RMP,2988.0,37.0,51540.0,37.0,54528.0,74.0
RNO,60173740.0,1596.0,43237672.0,1510.0,103411412.0,3106.0
ROA,11621987.0,510.0,13228325.0,520.0,24850312.0,1030.0
ROC,16336203.0,573.0,15047819.0,518.0,31384022.0,1091.0
ROP,498830.0,1006.0,1075855.0,1304.0,1574685.0,2310.0
ROW,38521.0,3.0,18133.0,2.0,56654.0,5.0
RQE,792.0,2.0,0.0,0.0,792.0,2.0
RQK,0.0,0.0,127070.0,2.0,127070.0,2.0
RSH,5896.0,40.0,87012.0,42.0,92908.0,82.0
RST,7438054.0,253.0,9325421.0,318.0,16763475.0,571.0
RSW,16423844.0,609.0,25174654.0,613.0,41598498.0,1222.0
RWI,38360.0,2.0,0.0,2.0,38360.0,4.0
SAN,80251968.0,1759.0,84870981.0,1761.0,165122949.0,3520.0
SAT,117401575.0,2719.0,162077442.0,2951.0,279479017.0,5670.0
SAV,9973386.0,494.0,14963573.0,508.0,24936959.0,1002.0
SBA,1387528.0,607.0,2239486.0,830.0,3627014.0,1437.0
SBD,260795299.0,3985.0,157404117.0,3736.0,418199416.0,7721.0
SBN,8120959.0,640.0,10116862.0,638.0,18237821.0,1278.0
SBP,394262.0,454.0,1069966.0,651.0,1464228.0,1105.0
SCC,9438776.0,1285.0,4457367.0,1213.0,13896143.0,2498.0
SCE,1004003.0,708.0,1105211.0,665.0,2109214.0,1373.0
SCK,45417244.0,652.0,47311769.0,695.0,92729013.0,1347.0
SCM,15239.0,53.0,196871.0,52.0,212110.0,105.0
SDF,3552922358.0,53396.0,3406962631.0,52750.0,6959884989.0,106146.0
SDM,180259.0,20.0,4600.0,21.0,184859.0,41.0
SDP,1202755.0,409.0,1441122.0,409.0,2643877.0,818.0
SEA,284241711.0,6642.0,344034421.0,8044.0,628276132.0,14686.0
SFB,4743.0,4.0,5941.0,5.0,10684.0,9.0
SFO,93999245.0,1407.0,177555852.0,2749.0,271555097.0,4156.0
SGF,14560800.0,615.0,20102458.0,624.0,34663258.0,1239.0
SGU,304186.0,253.0,203093.0,244.0,507279.0,497.0
SHG,105701.0,81.0,288474.0,81.0,394175.0,162.0
SHH,55151.0,114.0,445073.0,110.0,500224.0,224.0
SHV,17484498.0,577.0,25104473.0,583.0,42588971.0,1160.0
SHX,8193.0,18.0,12392.0,18.0,20585.0,36.0
SIG,0.0,106.0,0.0,80.0,0.0,186.0
SIT,7979543.0,978.0,10373341.0,981.0,18352884.0,1959.0
SJC,30073894.0,530.0,19745014.0,412.0,49818908.0,942.0
SJT,420594.0,334.0,1139207.0,624.0,1559801.0,958.0
SJU,118910304.0,4097.0,281615467.0,4598.0,400525771.0,8695.0
SKJ,0.0,26.0,6693.0,26.0,6693.0,52.0
SKK,33433.0,33.0,102919.0,33.0,136352.0,66.0
SKW,1087.0,14.0,15533.0,27.0,16620.0,41.0
SLC,157825863.0,3383.0,145046559.0,3249.0,302872422.0,6632.0
SLE,577281.0,506.0,258288.0,507.0,835569.0,1013.0
SLN,4044.0,3.0,4044.0,3.0,8088.0,6.0
SLQ,65.0,4.0,6327.0,4.0,6392.0,8.0
SMF,106968589.0,3725.0,109545156.0,3825.0,216513745.0,7550.0
SMK,19705.0,46.0,173754.0,45.0,193459.0,91.0
SMX,1014503.0,763.0,1228422.0,654.0,2242925.0,1417.0
SNA,23073617.0,440.0,4392429.0,193.0,27466046.0,633.0
SNP,113964.0,139.0,574891.0,140.0,688855.0,279.0
SOV,5924.0,2287.0,336585.0,2225.0,342509.0,4512.0
SPN,892094.0,989.0,234444.0,688.0,1126538.0,1677.0
SRV,41.0,6.0,10214.0,6.0,10255.0,12.0
STC,2478.0,1.0,0.0,1.0,2478.0,2.0
STG,28389.0,75.0,99297.0,74.0,127686.0,149.0
STL,67034296.0,1868.0,71765721.0,1872.0,138800017.0,3740.0
STT,207564.0,372.0,1774640.0,507.0,1982204.0,879.0
STX,147170.0,310.0,943610.0,350.0,1090780.0,660.0
SUN,1458.0,2.0,3962.0,4.0,5420.0,6.0
SUS,0.0,1.0,10073.0,1.0,10073.0,2.0
SUU,199889.0,10.0,201168.0,14.0,401057.0,24.0
SVA,45623.0,105.0,457332.0,105.0,502955.0,210.0
SVS,1904.0,3.0,2457.0,3.0,4361.0,6.0
SVW,0.0,1.0,24917.0,1.0,24917.0,2.0
SWF,13459011.0,456.0,34438429.0,652.0,47897440.0,1108.0
SWW,728.0,1.0,728.0,1.0,1456.0,2.0
SXP,9157.0,38.0,71406.0,34.0,80563.0,72.0
SYA,0.0,2.0,27457.0,2.0,27457.0,4.0
SYR,41231763.0,1556.0,49112437.0,1556.0,90344200.0,3112.0
T82,694.0,1.0,694.0,1.0,1388.0,2.0
TAL,10.0,15.0,8022.0,15.0,8032.0,30.0
TCL,15734.0,16.0,115321.0,17.0,131055.0,33.0
TCM,0.0,1.0,71950.0,1.0,71950.0,2.0
TCT,11368.0,211.0,152684.0,214.0,164052.0,425.0
TDF,8877.0,1.0,0.0,1.0,8877.0,2.0
TEH,50.0,2.0,50.0,2.0,100.0,4.0
TEK,28878.0,224.0,146263.0,227.0,175141.0,451.0
TIK,0.0,7.0,0.0,0.0,0.0,7.0
TIQ,8397.0,10.0,3516.0,9.0,11913.0,19.0
TKJ,44877.0,262.0,13445.0,258.0,58322.0,520.0
TLA,16294.0,35.0,101578.0,37.0,117872.0,72.0
TLH,8714938.0,628.0,10993113.0,713.0,19708051.0,1341.0
TLJ,13460.0,15.0,86298.0,19.0,99758.0,34.0
TLT,11037.0,18.0,33313.0,15.0,44350.0,33.0
TNK,6386.0,30.0,84895.0,32.0,91281.0,62.0
TOG,3527.0,4.0,4364.0,4.0,7891.0,8.0
TOL,20270380.0,736.0,19119729.0,737.0,39390109.0,1473.0
TPA,85988033.0,1762.0,126657897.0,1891.0,212645930.0,3653.0
TRI,8920.0,2.0,21353.0,2.0,30273.0,4.0
TSP,5248.0,3.0,5248.0,3.0,10496.0,6.0
TUL,40186329.0,1058.0,51544421.0,1105.0,91730750.0,2163.0
TUS,17295018.0,260.0,17336617.0,255.0,34631635.0,515.0
TVC,32755.0,259.0,235986.0,281.0,268741.0,540.0
TVF,3608688.0,690.0,976626.0,442.0,4585314.0,1132.0
TWF,3770.0,3.0,12455.0,9.0,16225.0,12.0
TYE,7532.0,65.0,53925.0,170.0,61457.0,235.0
TYS,22443103.0,762.0,36708888.0,766.0,59151991.0,1528.0
UAM,5379.0,1.0,0.0,0.0,5379.0,1.0
UKI,275557.0,370.0,440959.0,376.0,716516.0,746.0
UMT,1875.0,6.0,4302.0,6.0,6177.0,12.0
UNK,950736.0,366.0,6478529.0,351.0,7429265.0,717.0
UTO,142.0,31.0,8034.0,31.0,8176.0,62.0
UUK,3116696.0,104.0,764277.0,104.0,3880973.0,208.0
UXK,541307.0,454.0,0.0,0.0,541307.0,454.0
VAK,31866.0,101.0,361912.0,100.0,393778.0,201.0
VBG,3252.0,2.0,163886.0,3.0,167138.0,5.0
VEE,22379.0,270.0,264932.0,271.0,287311.0,541.0
VIK,2498.0,15.0,10516.0,15.0,13014.0,30.0
VIS,812263.0,673.0,1643210.0,918.0,2455473.0,1591.0
VPS,65194.0,1.0,2637.0,1.0,67831.0,2.0
VQQ,1500.0,3.0,0.0,4.0,1500.0,7.0
VQS,93083.0,432.0,739310.0,763.0,832393.0,1195.0
VWD,5330.0,3.0,5330.0,3.0,10660.0,6.0
VZY,0.0,1.0,5183.0,1.0,5183.0,2.0
WAA,43660.0,39.0,139670.0,39.0,183330.0,78.0
WBB,27662.0,49.0,141150.0,47.0,168812.0,96.0
WBQ,1333.0,19.0,6505.0,19.0,7838.0,38.0
WCR,0.0,2.0,0.0,2.0,0.0,4.0
WJF,1190.0,1.0,1190.0,1.0,2380.0,2.0
WLK,115635.0,130.0,534035.0,130.0,649670.0,260.0
WMO,78027.0,73.0,227033.0,73.0,305060.0,146.0
WNA,15959.0,55.0,128688.0,55.0,144647.0,110.0
WOW,0.0,0.0,0.0,4.0,0.0,4.0
WRG,1533630.0,378.0,1707207.0,378.0,3240837.0,756.0
WRI,0.0,5.0,0.0,0.0,0.0,5.0
WTK,47124.0,169.0,460496.0,171.0,507620.0,340.0
WTL,25475.0,46.0,148908.0,46.0,174383.0,92.0
WWT,8421.0,28.0,78770.0,29.0,87191.0,57.0
XNA,0.0,1.0,0.0,2.0,0.0,3.0
XWA,231636.0,298.0,389375.0,251.0,621011.0,549.0
XXP,16090.0,12.0,16070.0,12.0,32160.0,24.0
XXY,0.0,0.0,17520.0,11.0,17520.0,11.0
YAK,1730652.0,349.0,1509157.0,357.0,3239809.0,706.0
YIP,492219.0,667.0,3036473.0,581.0,3528692.0,1248.0
YKM,1670973.0,940.0,2079109.0,809.0,3750082.0,1749.0
YUM,0.0,1.0,0.0,0.0,0.0,1.0
ZNC,33910.0,3.0,86069.0,3.0,119979.0,6.0
ZXB,793.0,1.0,793.0,1.0,1586.0,2.0
ZXC,0.0,0.0,8560.0,6.0,8560.0,6.0
